Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Can I Sit Next to You Girl,High Voltage,1975,251373,4,0.568,0.746,8,-5.844,1,0.101,0.0452,0.0587,0.0924,0.467,134.987,51
High Voltage,High Voltage,1975,254200,4,0.561,0.785,9,-4.973,1,0.0629,0.0282,0.451,0.0615,0.546,137.153,58
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),High Voltage,1975,301227,4,0.456,0.863,3,-3.551,1,0.0894,0.133,0.0538,0.0553,0.532,135.962,72
Little Lover,High Voltage,1975,338307,4,0.576,0.516,2,-6.091,1,0.0436,0.00144,0.00551,0.199,0.237,106.004,43
Live Wire,High Voltage,1975,348600,4,0.586,0.84,7,-5.341,1,0.0487,0.0122,0.0116,0.0842,0.0784,132.36,54
Rock 'N' Roll Singer,High Voltage,1975,303667,4,0.635,0.709,9,-4.512,1,0.104,0.257,0.00153,0.0836,0.714,133.591,49
She's Got Balls,High Voltage,1975,291307,4,0.691,0.415,2,-5.627,1,0.0347,0.0798,0.0254,0.0401,0.493,116.328,43
T.N.T.,High Voltage,1975,214667,4,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,79
The Jack,High Voltage,1975,352040,4,0.646,0.473,9,-6.297,1,0.0619,0.0094,0.000337,0.195,0.367,112.326,55
Ain't No Fun (Waiting Round to Be a Millionaire),Dirty Deeds Done Dirt Cheap,1976,414027,4,0.403,0.806,2,-4.727,1,0.0562,0.00919,0.0353,0.113,0.551,123.819,41
Big Balls,Dirty Deeds Done Dirt Cheap,1976,158773,4,0.62,0.634,9,-6.324,1,0.198,0.432,0,0.604,0.415,107.066,58
Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap,1976,231933,4,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,75
Love at First Feel,Dirty Deeds Done Dirt Cheap,1976,191467,4,0.546,0.786,2,-6.442,1,0.0425,0.0145,0.274,0.132,0.567,122.838,40
Problem Child,Dirty Deeds Done Dirt Cheap,1976,345867,4,0.466,0.836,11,-4.223,0,0.117,0.00373,0.154,0.043,0.659,134.296,45
Ride On,Dirty Deeds Done Dirt Cheap,1976,350267,3,0.73,0.388,0,-9.511,1,0.051,0.514,0.00791,0.0735,0.279,105.716,54
Rocker,Dirty Deeds Done Dirt Cheap,1976,171093,4,0.431,0.955,1,-4.09,1,0.162,0.2,0.703,0.14,0.481,118.051,45
Squealer,Dirty Deeds Done Dirt Cheap,1976,327493,4,0.475,0.607,0,-6.528,1,0.0929,0.0755,0.0802,0.169,0.668,131.149,41
There's Gonna Be Some Rockin',Dirty Deeds Done Dirt Cheap,1976,198173,4,0.55,0.793,2,-4.776,1,0.0462,0.124,0.000138,0.74,0.582,126.591,41
Bad Boy Boogie,Let There Be Rock,1977,267613,4,0.494,0.853,9,-4.963,1,0.0806,0.12,0.192,0.254,0.538,141.482,42
Dog Eat Dog,Let There Be Rock,1977,214853,4,0.596,0.792,10,-5.556,1,0.0768,0.0289,0.252,0.458,0.394,137.391,55
Go Down,Let There Be Rock,1977,331480,4,0.433,0.803,9,-5.378,1,0.121,0.0858,0.354,0.0838,0.401,134.84,43
Hell Ain't a Bad Place to Be,Let There Be Rock,1977,254120,4,0.604,0.737,9,-5.284,1,0.175,0.181,0.0146,0.346,0.417,128.056,55
Let There Be Rock,Let There Be Rock,1977,366347,4,0.332,0.725,11,-5.809,0,0.116,0.000209,0.607,0.0767,0.422,182.364,64
Overdose,Let There Be Rock,1977,369053,4,0.401,0.723,9,-4.348,1,0.0552,0.0146,0.209,0.167,0.247,127.781,41
Problem Child,Let There Be Rock,1977,324693,4,0.443,0.869,9,-3.9,1,0.126,0.00305,0.104,0.0867,0.703,134.208,43
Whole Lotta Rosie,Let There Be Rock,1977,333800,4,0.292,0.838,9,-4.459,1,0.078,0.0014,0.479,0.0953,0.423,159.176,65
"Bad Boy Boogie - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),1978,449987,4,0.274,0.932,2,-4.573,1,0.063,0.0035,0.59,0.971,0.0979,139.925,35
"Hell Ain't a Bad Place to Be - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),1978,250960,4,0.539,0.878,2,-2.87,1,0.071,0.00154,0.588,0.877,0.24,129.448,37
"High Voltage - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),1978,305360,4,0.55,0.919,9,-4.572,1,0.0604,0.00028,0.602,0.935,0.564,136.117,33
"Let There Be Rock - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),1978,513707,4,0.156,0.976,0,-4.87,1,0.219,0.000369,0.146,0.968,0.0865,191.62,38
"Problem Child - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),1978,280933,4,0.391,0.955,7,-3.87,1,0.0892,0.000113,0.25,0.983,0.55,138.966,34
"Riff Raff - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),1978,359080,4,0.195,0.973,2,-4.4,1,0.106,0.0000232,0.727,0.971,0.14,181.854,37
"Rock 'N' Roll Damnation - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),1978,221053,4,0.512,0.976,2,-2.948,1,0.0695,0.000999,0.786,0.803,0.147,132.848,35
"Rocker - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),1978,204907,4,0.17,0.995,2,-3.648,1,0.152,0.000104,0.458,0.954,0.159,185.503,34
"The Jack - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),1978,348573,4,0.283,0.745,9,-5.658,1,0.0782,0.000713,0.0883,0.983,0.438,69.417,36
"Whole Lotta Rosie - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",If You Want Blood You've Got It (Live),1978,245000,4,0.257,0.958,2,-2.946,1,0.157,0.000945,0.439,0.762,0.401,165.352,38
Down Payment Blues,Powerage,1978,363733,4,0.491,0.685,4,-5.07,1,0.0369,0.0209,0.0958,0.312,0.193,129.271,42
Gimme a Bullet,Powerage,1978,201680,4,0.605,0.924,1,-4.217,1,0.0338,0.0058,0.615,0.0542,0.919,125.737,44
Gone Shootin',Powerage,1978,305587,4,0.696,0.593,11,-5.442,1,0.0349,0.00306,0.762,0.115,0.385,121.475,48
Kicked in the Teeth,Powerage,1978,243400,4,0.266,0.817,9,-4.711,1,0.0779,0.000781,0.0795,0.0759,0.311,160.779,40
Riff Raff,Powerage,1978,311880,4,0.179,0.978,9,-3.787,1,0.0945,0.00032,0.85,0.264,0.251,185.188,51
